Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
29,46,3444,54924,35,20711,12.469009,https://www.warnerbros.com/
24,39,2919,53431,33,21660,0.242193,https://www.warnerbros.com/
24,39,2919,51991,39,25634,0.236113,https://www.warnerbros.com/
25,41,3019,53613,39,25646,0.247825,https://www.warnerbros.com/
23,37,2831,50375,33,21660,0.235537,https://www.warnerbros.com/
24,39,2919,53432,29,18428,0.238097,https://www.warnerbros.com/
26,40,3107,53526,31,20044,0.251473,https://www.warnerbros.com/
24,39,2919,53432,25,15336,0.237073,https://www.warnerbros.com/
23,38,2843,51904,29,18428,0.235025,https://www.warnerbros.com/
23,39,2819,53432,32,21560,0.33792,https://www.warnerbros.com/
24,40,2919,53520,39,24671,0.235601,https://www.warnerbros.com/
23,38,2843,51904,40,27478,0.237585,https://www.warnerbros.com/
24,39,2919,53432,27,16812,0.230929,https://www.warnerbros.com/
24,39,2919,53439,27,16812,0.236049,https://www.warnerbros.com/
22,40,2743,53520,31,20044,0.235089,https://www.warnerbros.com/
23,39,2831,53432,35,23276,0.240657,https://www.warnerbros.com/
24,38,2919,51904,39,26712,0.237073,https://www.warnerbros.com/
25,40,3019,53520,37,23055,0.242705,https://www.warnerbros.com/
24,39,2919,53432,35,23276,0.258129,https://www.warnerbros.com/
30,38,4379,51904,25,15550,0.344657,https://www.warnerbros.com/
15,13,2349,9879,13,4377,11.775761,https://www.vudu.com/region-error
9,10,1621,8863,11,3640,0.218129,https://www.vudu.com/region-error
9,10,1621,9144,13,6290,0.221777,https://www.vudu.com/region-error
9,11,1621,9238,11,5361,0.217617,https://www.vudu.com/region-error
9,10,1621,9144,13,4833,0.216081,https://www.vudu.com/region-error
9,10,1621,9144,13,4833,0.217617,https://www.vudu.com/region-error
9,9,1621,6929,9,2288,0.214097,https://www.vudu.com/region-error
9,10,1621,9144,13,4833,0.236561,https://www.vudu.com/region-error
9,11,1621,9238,13,6006,0.215569,https://www.vudu.com/region-error
9,10,1621,9144,11,3481,0.221713,https://www.vudu.com/region-error
12,15,1886,9689,17,5204,0.875537,https://www.vudu.com/region-error
9,11,1621,9238,11,3640,0.214097,https://www.vudu.com/region-error
9,10,1621,9144,11,3214,0.218641,https://www.vudu.com/region-error
9,10,1621,9144,13,4833,0.219153,https://www.vudu.com/region-error
9,9,1621,7596,11,3214,0.219665,https://www.vudu.com/region-error
9,11,1621,9238,11,3640,0.222289,https://www.vudu.com/region-error
8,10,1533,9144,11,3214,0.218129,https://www.vudu.com/region-error
9,11,1621,9238,9,3458,0.219665,https://www.vudu.com/region-error
9,10,1621,9144,13,4833,0.216081,https://www.vudu.com/region-error
9,11,1621,9238,11,3924,0.226897,https://www.vudu.com/region-error
21,28,2780,29530,19,9350,11.375825,https://home.miui.com/
15,22,2138,26974,21,11220,0.220689,https://home.miui.com/
16,22,2226,26973,21,12385,0.223249,https://home.miui.com/
16,22,2226,26973,23,13352,0.213073,https://home.miui.com/
14,22,2050,26973,18,10661,0.218641,https://home.miui.com/
15,21,2150,25425,24,15297,0.239121,https://home.miui.com/
17,23,2302,27068,23,11886,8.763473,https://home.miui.com/
16,22,2226,26974,19,10749,0.223761,https://home.miui.com/
13,22,1962,26974,17,8444,0.221713,https://home.miui.com/
17,22,2326,26974,17,8841,0.229969,https://home.miui.com/
15,21,2138,26095,19,10749,0.234513,https://home.miui.com/
16,22,2226,26974,21,10835,0.235537,https://home.miui.com/
16,22,2226,26974,21,11716,0.237585,https://home.miui.com/
14,22,2050,26974,22,13649,0.228881,https://home.miui.com/
16,22,2226,26974,21,11220,0.215633,https://home.miui.com/
14,22,2050,26973,19,10465,0.215569,https://home.miui.com/
16,22,2226,26973,23,13737,0.225297,https://home.miui.com/
7,6,1434,5433,7,1822,0.188945,https://home.miui.com/
12,22,1886,26973,13,5557,0.220753,https://home.miui.com/
29,24,6468,27180,21,10665,6.128529,https://home.miui.com/
42,69,4595,92077,65,45856,12.136721,https://www.nab.com.au/
36,64,3987,90697,61,43800,0.660049,https://www.nab.com.au/
37,64,4075,89233,45,33190,0.289809,https://www.nab.com.au/
36,64,4057,86979,45,30382,0.920145,https://www.nab.com.au/
36,64,3987,90693,53,38280,0.283153,https://www.nab.com.au/
35,64,3911,90693,32,23286,0.280657,https://www.nab.com.au/
36,63,3999,89145,55,38900,0.295441,https://www.nab.com.au/
35,64,3911,90693,44,32818,0.292369,https://www.nab.com.au/
49,78,7243,96682,68,43300,1.131136,https://www.nab.com.au/
36,64,3987,90693,59,41795,0.296465,https://www.nab.com.au/
36,64,3987,89233,47,33088,0.287249,https://www.nab.com.au/
36,64,3987,90693,49,36178,0.272913,https://www.nab.com.au/
35,63,3911,89144,35,23272,0.282193,https://www.nab.com.au/
36,64,3999,90693,50,35528,0.291345,https://www.nab.com.au/
34,66,3799,90874,57,42704,0.411136,https://www.nab.com.au/
39,65,4251,90780,47,30740,0.292945,https://www.nab.com.au/
35,64,3899,90692,53,39450,0.287249,https://www.nab.com.au/
36,64,3987,90693,59,43614,0.310289,https://www.nab.com.au/
37,64,4075,90687,63,45367,0.285777,https://www.nab.com.au/
37,65,4075,90781,43,30156,0.290833,https://www.nab.com.au/
16,20,2302,17972,15,4841,11.424465,https://www.google.ws/
11,18,1786,17800,11,3799,0.270929,https://www.google.ws/
12,17,1874,17633,17,6698,0.289809,https://www.google.ws/
12,16,1874,17639,15,7004,0.279057,https://www.google.ws/
12,17,1874,17576,17,6327,0.267281,https://www.google.ws/
10,17,1698,16266,13,4450,0.267345,https://www.google.ws/
13,18,1962,17770,19,8678,0.282129,https://www.google.ws/
13,18,1950,17705,18,8157,0.534528,https://www.google.ws/
12,16,1874,17673,15,6888,0.270929,https://www.google.ws/
12,17,1874,17594,15,5307,0.272401,https://www.google.ws/
12,13,1874,14413,13,6822,0.273937,https://www.google.ws/
