Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
16,16,2284,12773,13,4713,11.995396,https://ovrc.com/
31,30,4938,65898,22,18592,1.707584,https://ovrc.com/
8,8,1553,11205,9,4100,0.753732,https://ovrc.com/
8,8,1553,11205,9,4100,0.749124,https://ovrc.com/
19,13,3675,18665,19,12208,1.539204,https://ovrc.com/
9,8,1643,11205,11,5186,0.820293,https://ovrc.com/
8,7,1553,8191,11,7869,0.751621,https://ovrc.com/
9,9,1631,11301,10,4172,1.35584,https://ovrc.com/
8,8,1553,11205,9,4100,0.812612,https://ovrc.com/
7,8,1370,11205,9,4100,0.81466,https://ovrc.com/
12,11,2029,12399,11,4613,1.187907,https://ovrc.com/
8,8,1553,11205,9,4100,0.749636,https://ovrc.com/
8,8,1553,11205,9,4100,0.754244,https://ovrc.com/
8,8,1553,11205,9,4100,0.756292,https://ovrc.com/
13,12,2582,12196,15,5288,0.97434,https://ovrc.com/
8,8,1553,11205,9,4100,0.811588,https://ovrc.com/
9,8,1643,11205,11,7278,0.749636,https://ovrc.com/
9,9,1644,11307,11,4293,1.058372,https://ovrc.com/
7,7,1370,11064,7,3658,0.814148,https://ovrc.com/
8,7,1553,8117,9,4100,0.750084,https://ovrc.com/
31,32,4196,66923,25,23790,11.57914,https://www.dmca.com/
31,29,4124,67661,29,31895,0.24986,https://www.dmca.com/
22,28,3314,67720,19,18521,0.259652,https://www.dmca.com/
27,26,3690,64644,25,27749,0.28826,https://www.dmca.com/
26,26,3674,64576,25,27681,0.251396,https://www.dmca.com/
30,28,4034,67576,25,27506,0.249348,https://www.dmca.com/
45,37,12101,76430,31,23671,11.454724,https://www.dmca.com/
29,26,3944,64579,23,24085,0.207876,https://www.dmca.com/
30,27,4034,67685,21,21597,0.217091,https://www.dmca.com/
32,28,4296,67644,25,27768,0.310787,https://www.dmca.com/
25,29,3584,67658,25,27574,0.207939,https://www.dmca.com/
29,29,3944,67593,25,25675,0.218116,https://www.dmca.com/
36,27,5462,66672,23,25533,0.432131,https://www.dmca.com/
26,25,3674,61658,23,24673,0.209924,https://www.dmca.com/
29,26,3944,67618,17,17459,0.211012,https://www.dmca.com/
30,26,4034,67678,17,16945,0.211972,https://www.dmca.com/
28,26,3854,64701,19,20535,0.210948,https://www.dmca.com/
26,29,3674,64700,21,20707,0.232453,https://www.dmca.com/
26,28,3674,67644,23,24673,0.21146,https://www.dmca.com/
28,27,3854,67630,19,18521,0.2233,https://www.dmca.com/
