350,2013_389,11393317
384,2013_697,7890422
850,2018_299,7756295
638,2016_261,7634551
747,2017_345,5662972
673,2016_703,5444203
717,2017_1103,4502511
189,2011_631,4132122
678,2016_738,3916481
807,2018_084,3613120
516,2015_1086,3285373
388,2013_756,3161175
186,2011_594,3012251
111,2011_099,2451961
367,2013_579,2433367
507,2015_1001,2341070
461,2014_576,2340013
32,2010_281,2323978
829,2018_1244,2120649
835,2018_181,2107548
424,2014_146,2023663
739,2017_278,1914609
853,2018_322,1869343
324,2013_227,1834628
714,2017_1073,1756251
883,2018_721,1676789
871,2018_490,1675025
887,2018_806,1653813
499,2014_997,1509470
220,2012_139,1488576
874,2018_547,1481886
603,2016_026,1470379
840,2018_211,1469575
713,2017_1058,1387084
218,2012_113,1375415
851,2018_311,1354196
527,2015_124,1350336
697,2016_966,1349610
746,2017_341,1286587
581,2015_798,1277103
687,2016_888,1260484
51,2010_394,1260191
181,2011_565,1228747
243,2012_278,1209415
563,2015_587,1201754
573,2015_675,1185708
523,2015_1206,1175831
784,2017_697,1173713
476,2014_750,1150284
592,2015_938,1135622
749,2017_364,1134945
891,2018_861,1108915
549,2015_429,1100587
684,2016_846,1088745
505,2015_064,1079628
125,2011_166,1075302
128,2011_178,1064268
602,2016_024,1061242
811,2018_1001,1055735
61,2010_457,1054010
411,2014_062,1031452
25,2010_214,1031355
820,2018_1166,1022415
599,2015_990,1013187
724,2017_1183,1005898
366,2013_554,1003106
707,2017_074,1002600
767,2017_513,998955
720,2017_1151,993745
450,2014_428,982812
539,2015_246,972807
755,2017_420,970570
649,2016_387,962036
773,2017_596,947481
289,2012_662,943225
69,2010_491,942490
288,2012_637,928943
274,2012_560,926367
351,2013_408,924797
652,2016_480,919277
870,2018_489,912533
796,2017_914,903718
793,2017_861,901427
575,2015_692,899205
770,2017_559,889485
654,2016_509,881956
779,2017_656,881037
353,2013_424,880183
728,2017_1228,877907
792,2017_820,876525
566,2015_605,872823
298,2012_718,861915
89,2010_586,861458
716,2017_1093,852967
21,2010_176,846731
456,2014_488,838327
715,2017_1079,837854
43,2010_339,835681
790,2017_778,834737
675,2016_708,823380
642,2016_313,820993
580,2015_776,816146
278,2012_575,814181
899,2018_978,810045
766,2017_511,809659
699,2016_988,799438
379,2013_664,799234
626,2016_1159,792724
572,2015_674,788649
326,2013_234,785871
898,2018_971,783835
742,2017_298,783473
664,2016_607,781719
462,2014_587,779653
512,2015_1038,779114
292,2012_671,778592
868,2018_470,778240
725,2017_1224,777749
711,2017_1003,775866
237,2012_251,775720
788,2017_749,775292
769,2017_530,774895
79,2010_530,772363
757,2017_430,771590
845,2018_260,770781
365,2013_552,759800
689,2016_913,754638
426,2014_171,754632
488,2014_876,750167
363,2013_547,749855
561,2015_551,748775
301,2013_034,742342
273,2012_546,741410
586,2015_867,736266
585,2015_856,735667
569,2015_664,733824
662,2016_587,730001
763,2017_474,729665
3,2010_026,728020
836,2018_182,724365
882,2018_689,723488
256,2012_403,722570
774,2017_620,720490
113,2011_101,718639
556,2015_533,717963
637,2016_253,717036
479,2014_767,715241
477,2014_758,709642
609,2016_087,708781
611,2016_1013,707081
712,2017_1004,706036
445,2014_368,703840
760,2017_445,702852
308,2013_078,700236
542,2015_283,698058
812,2018_1003,695921
521,2015_115,682112
173,2011_519,678454
23,2010_206,678427
318,2013_167,675671
846,2018_264,675668
374,2013_636,675501
264,2012_486,675353
619,2016_1090,674567
526,2015_1230,672361
900,2018_983,672040
532,2015_157,668688
238,2012_252,668663
193,2011_681,667749
337,2013_298,667630
690,2016_923,663073
435,2014_283,661992
538,2015_244,659424
215,2012_103,657393
718,2017_1113,655024
867,2018_465,654661
598,2015_974,653981
346,2013_353,652914
710,2017_096,651684
474,2014_745,651235
323,2013_200,647910
536,2015_236,645932
778,2017_650,645458
33,2010_284,644307
525,2015_1222,643237
501,2015_006,642710
782,2017_676,642034
683,2016_839,641771
834,2018_176,639668
832,2018_170,637317
751,2017_384,637212
473,2014_743,637115
184,2011_576,635248
39,2010_323,634264
311,2013_105,632764
890,2018_844,627000
166,2011_447,626896
590,2015_882,624565
481,2014_797,624201
876,2018_585,624050
752,2017_385,623404
520,2015_1134,619235
267,2012_503,618852
696,2016_961,618309
205,2012_033,616984
143,2011_289,615394
378,2013_654,614702
439,2014_321,613155
622,2016_1127,611874
802,2018_004,611531
270,2012_514,607665
613,2016_1038,604608
660,2016_564,603897
584,2015_843,603818
786,2017_718,603792
765,2017_504,602163
276,2012_564,601363
252,2012_363,600772
299,2012_729,599210
455,2014_480,598145
58,2010_428,597920
838,2018_192,597281
743,2017_301,596791
893,2018_904,596492
839,2018_207,596252
587,2015_874,595996
524,2015_1215,595890
1,2010_006,594571
823,2018_121,592407
469,2014_713,590889
239,2012_258,590818
7,2010_055,589603
726,2017_1225,589594
695,2016_957,589023
52,2010_395,588927
872,2018_494,587554
545,2015_342,586069
895,2018_953,585572
517,2015_1104,585441
567,2015_612,584208
791,2017_780,582103
174,2011_521,581867
798,2017_937,581712
636,2016_251,581637
475,2014_747,581493
242,2012_269,579483
856,2018_353,574695
421,2014_106,574316
408,2014_049,573118
277,2012_568,572775
582,2015_815,571808
37,2010_305,570765
801,2018_002,568185
646,2016_363,568024
686,2016_873,567911
227,2012_184,566174
117,2011_126,563663
535,2015_204,561719
489,2014_888,560143
555,2015_527,559843
352,2013_409,559719
896,2018_956,559413
577,2015_722,558851
459,2014_555,558367
810,2018_1000,557605
260,2012_442,556624
719,2017_1146,554953
866,2018_463,554437
8,2010_056,554265
730,2017_129,552644
639,2016_270,551625
229,2012_198,550803
80,2010_541,548611
754,2017_409,547611
837,2018_190,547424
386,2013_722,546664
794,2017_893,546328
564,2015_596,546050
415,2014_089,545973
105,2011_025,545968
680,2016_812,544785
312,2013_108,544346
855,2018_331,542843
294,2012_693,542593
236,2012_248,541546
401,2014_019,540454
403,2014_033,539663
759,2017_433,539124
309,2013_083,538609
472,2014_736,538130
395,2013_797,536584
674,2016_706,534799
625,2016_1157,534769
859,2018_388,534008
677,2016_720,533973
740,2017_287,532988
387,2013_727,531871
860,2018_392,531251
202,2012_005,530038
172,2011_501,528318
671,2016_689,527105
120,2011_137,527098
63,2010_465,526366
233,2012_211,525576
177,2011_533,525424
151,2011_342,524849
281,2012_600,524225
522,2015_1183,523896
305,2013_059,523827
576,2015_706,523773
804,2018_037,523279
446,2014_396,522850
372,2013_631,521845
320,2013_179,520735
816,2018_1076,520218
436,2014_306,519821
663,2016_594,519092
732,2017_156,518159
441,2014_337,517321
847,2018_265,516821
154,2011_370,515652
247,2012_326,514734
495,2014_959,514436
708,2017_091,513606
121,2011_149,513282
568,2015_629,512263
589,2015_881,512071
817,2018_110,512013
412,2014_073,511847
159,2011_389,511686
681,2016_832,511305
706,2017_060,510863
821,2018_1185,510787
497,2014_973,510189
156,2011_382,509752
464,2014_652,509743
843,2018_233,509258
737,2017_262,508821
345,2013_350,506708
377,2013_644,506616
676,2016_709,506424
842,2018_223,506079
114,2011_106,505999
822,2018_1193,505062
865,2018_451,504115
317,2013_158,503820
610,2016_1009,503710
480,2014_775,503500
629,2016_1190,502951
653,2016_484,502231
145,2011_314,502136
101,2011_005,501681
272,2012_531,500147
83,2010_550,500075
321,2013_186,499926
341,2013_317,498341
416,2014_1000,497237
762,2017_469,493044
546,2015_388,492389
771,2017_587,491933
704,2017_036,490286
444,2014_363,488576
571,2015_670,488317
381,2013_669,488252
691,2016_928,487748
736,2017_223,487523
819,2018_1159,486252
623,2016_1144,485820
231,2012_208,485288
103,2011_010,482968
431,2014_247,481316
342,2013_326,480742
188,2011_629,480552
410,2014_060,480518
848,2018_281,479819
2,2010_019,479521
781,2017_673,478391
148,2011_322,476731
667,2016_658,476008
122,2011_156,475673
815,2018_1047,475610
400,2013_856,475157
806,2018_070,474975
873,2018_520,473849
375,2013_638,473286
844,2018_246,473183
135,2011_237,472198
596,2015_965,472162
454,2014_472,472064
651,2016_440,471612
878,2018_593,471040
668,2016_676,470992
291,2012_669,470909
66,2010_477,470339
132,2011_191,468561
595,2015_957,468232
884,2018_738,467806
126,2011_168,467705
430,2014_223,467157
402,2014_032,467137
679,2016_750,465534
333,2013_279,465207
146,2011_316,465101
630,2016_125,464990
428,2014_201,464535
604,2016_033,464455
99,2010_645,463540
702,2017_008,463444
886,2018_790,462486
879,2018_603,462433
338,2013_307,462171
133,2011_200,461863
574,2015_683,461777
818,2018_1157,460070
828,2018_1237,458652
343,2013_330,458645
414,2014_081,457862
362,2013_545,457358
565,2015_604,455546
399,2013_838,455261
390,2013_763,453988
729,2017_1256,453984
557,2015_535,453084
511,2015_1035,453032
560,2015_546,452998
359,2013_504,452926
722,2017_1173,452785
744,2017_310,452765
465,2014_662,452435
570,2015_667,451408
498,2014_984,451198
449,2014_422,450934
223,2012_150,450739
533,2015_180,450665
780,2017_660,449778
491,2014_906,449327
287,2012_636,447238
27,2010_233,447181
897,2018_969,445915
597,2015_973,445634
316,2013_144,443866
634,2016_200,443539
169,2011_493,442217
864,2018_437,441629
643,2016_337,441056
514,2015_1070,440548
615,2016_1050,439751
776,2017_626,439165
621,2016_1119,439135
179,2011_561,437983
861,2018_398,437442
250,2012_337,436772
258,2012_440,435335
336,2013_297,434402
648,2016_383,434305
540,2015_247,432942
134,2011_208,432727
831,2018_146,432716
797,2017_929,431641
228,2012_197,430811
478,2014_764,430073
698,2016_986,429797
81,2010_545,429653
207,2012_056,429385
191,2011_668,428620
655,2016_513,427478
208,2012_062,427192
661,2016_565,425420
392,2013_785,424644
657,2016_531,423511
594,2015_954,422066
36,2010_293,421327
682,2016_837,421081
206,2012_040,421076
703,2017_010,421057
723,2017_1175,420294
875,2018_553,419565
118,2011_133,418886
142,2011_279,418628
261,2012_455,418448
356,2013_435,417683
888,2018_826,417200
559,2015_545,416339
616,2016_1070,416237
515,2015_108,415722
627,2016_1166,414305
303,2013_046,414237
519,2015_1129,412774
785,2017_700,411184
669,2016_681,409872
551,2015_470,409516
830,2018_131,409165
531,2015_156,408517
502,2015_034,408359
731,2017_138,407203
360,2013_538,406445
880,2018_675,406326
