Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
234,334,23345,501994,377,301012,11.901202,2010_019
238,333,23877,506051,315,252853,0.636498,2010_019
224,338,22357,512337,345,277224,0.649298,2010_019
233,337,23285,512243,363,291070,0.59957,2010_019
228,336,22729,509241,331,265254,0.595538,2010_019
237,334,23717,507599,359,289093,0.617489,2010_019
243,336,24393,509241,373,300624,0.608338,2010_019
246,336,24729,510695,385,309334,0.623186,2010_019
229,334,22777,506145,355,285620,0.609809,2010_019
232,336,23153,510695,347,277970,0.62421,2010_019
229,333,22793,506051,377,304498,0.590354,2010_019
229,336,22893,510695,343,275793,0.607314,2010_019
228,339,22789,512431,391,316357,0.789056,2010_019
229,338,22829,512337,341,274180,0.604177,2010_019
208,336,20521,510695,295,237300,0.638033,2010_019
257,347,29863,517471,327,257023,0.746065,2010_019
232,341,23114,514085,342,272844,1.443905,2010_019
233,341,23198,514079,375,300906,0.677457,2010_019
231,336,23009,510695,377,303773,0.608273,2010_019
234,339,23899,513885,335,269088,0.599122,2010_019
134,197,15699,287828,195,151224,0.697874,2012_441
119,186,12329,279745,169,132992,0.400977,2012_441
116,187,12053,279839,177,139476,0.406545,2012_441
110,188,11316,280101,177,138088,0.432209,2012_441
124,186,12889,279745,193,152840,0.410641,2012_441
125,186,13009,279745,195,155439,0.408657,2012_441
123,183,12781,273647,187,147545,0.411153,2012_441
135,195,15376,286197,174,135202,1.308223,2012_441
122,184,12689,276649,159,125895,0.451665,2012_441
120,186,12513,279745,187,147813,0.408081,2012_441
118,185,12253,278197,201,159229,0.418897,2012_441
114,175,11921,262717,187,148934,0.418833,2012_441
123,183,12793,275101,181,142808,0.415249,2012_441
125,185,13009,278197,179,142351,0.413777,2012_441
123,187,12805,279839,175,137887,0.425489,2012_441
130,186,13401,278291,107,83083,0.552018,2012_441
118,186,12229,278291,171,134495,0.41013,2012_441
99,185,10113,278197,151,117956,0.399954,2012_441
93,158,9849,236414,150,118037,0.374289,2012_441
116,185,12065,276743,149,117655,0.417362,2012_441
