Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
232,314,23479,475986,341,273888,0.568914,2013_144
216,312,21705,474344,333,268426,0.565777,2013_144
214,314,21525,475986,331,266096,0.561234,2013_144
216,306,21729,463602,317,254620,0.555537,2013_144
216,310,21749,469794,305,244696,0.575569,2013_144
199,306,19905,465056,297,238213,0.56629,2013_144
214,310,21497,471248,279,224524,0.629841,2013_144
206,313,20565,475892,313,251061,0.556113,2013_144
214,313,21469,474438,345,278205,0.570897,2013_144
214,313,21489,474438,309,249027,0.55509,2013_144
217,313,21826,475892,317,254729,0.955474,2013_144
215,314,21621,475986,349,280498,0.566865,2013_144
179,314,17609,475986,280,223091,1.438785,2013_144
217,310,21805,471248,337,271041,0.581714,2013_144
207,312,20766,473055,315,252945,0.555089,2013_144
217,312,21857,474344,333,268402,0.566801,2013_144
213,307,20870,466511,339,272021,0.569426,2013_144
215,306,21629,465056,345,277621,0.575506,2013_144
213,307,21425,466604,337,272220,0.558673,2013_144
211,307,21177,466511,315,252462,0.63701,2013_144
274,420,26821,637827,394,313982,0.870976,2012_514
269,417,26309,634469,421,339364,0.695377,2012_514
273,420,26725,640567,447,359634,0.692306,2012_514
271,415,26521,631373,417,334877,0.701969,2012_514
269,417,26321,635929,401,323036,0.720465,2012_514
270,420,26421,640567,409,329973,0.684625,2012_514
280,413,27362,629731,465,375693,0.738898,2012_514
272,420,26653,640494,389,311997,0.73781,2012_514
275,419,26939,637565,406,327861,1.181759,2012_514
270,420,26433,639113,409,328441,0.69333,2012_514
270,416,25930,635823,389,313031,0.700945,2012_514
270,420,26445,640567,419,338129,0.741969,2012_514
266,410,26061,625087,391,315009,0.704081,2012_514
273,419,26693,639013,405,327556,0.687185,2012_514
276,419,27013,637565,391,314680,0.70197,2012_514
264,418,25665,638925,391,314774,0.688209,2012_514
277,426,27073,646947,464,373814,1.469568,2012_514
276,425,27005,648307,451,363002,0.692242,2012_514
275,426,26885,648401,419,337644,0.682065,2012_514
271,425,26525,648307,415,335892,0.683602,2012_514
