Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
47,85,5501,121754,79,58690,0.290321,2012_094
49,86,5720,122016,81,59867,0.272978,2012_094
47,85,5513,121754,69,50630,0.28725,2012_094
47,84,4996,121660,67,50328,0.288786,2012_094
45,84,5325,121660,69,50893,0.273938,2012_094
45,84,4808,121660,73,54165,0.279122,2012_094
47,83,5501,120112,77,57437,0.275474,2012_094
45,85,5337,121754,66,48906,0.27957,2012_094
50,85,5866,121826,81,58055,1.135249,2012_094
47,84,5501,121660,77,57437,0.267282,2012_094
46,85,5425,121754,67,49184,0.28469,2012_094
51,87,5951,122741,67,48154,1.157714,2012_094
48,85,5613,121754,71,52468,0.282705,2012_094
47,84,5513,120206,83,62272,0.302097,2012_094
47,84,5501,120206,79,60071,0.280593,2012_094
47,84,5513,121660,73,53963,0.279634,2012_094
58,103,6481,148607,86,64142,1.139264,2012_094
46,84,5413,121660,71,52529,0.292881,2012_094
47,81,5513,117016,73,55248,0.278033,2012_094
47,81,5501,117016,77,58508,0.275026,2012_094
214,305,21561,462567,343,276033,0.565777,2011_208
222,307,22540,462923,268,213597,1.478801,2011_208
210,304,21133,461019,313,251401,0.550417,2011_208
214,307,21010,464209,309,246186,0.569937,2011_208
224,317,27804,469234,335,265062,0.905297,2011_208
211,306,21241,462661,313,251252,0.567313,2011_208
206,305,20745,462573,324,259672,0.561217,2011_208
212,306,21409,464115,324,261077,0.576529,2011_208
218,304,21929,461019,297,238237,0.565841,2011_208
213,306,21413,464115,323,259257,0.563794,2011_208
214,304,21525,461019,299,240980,0.583185,2011_208
221,307,22405,464209,345,277764,0.569426,2011_208
215,307,21601,464209,325,260700,0.554001,2011_208
208,296,20953,448635,321,256610,0.534097,2011_208
206,307,20613,464209,305,245587,0.565777,2011_208
212,300,21337,453373,331,265996,0.56277,2011_208
222,302,22736,456469,303,243386,0.598609,2011_208
212,306,21265,464115,343,275637,0.574993,2011_208
216,308,21748,464471,327,261301,0.554065,2011_208
205,305,20581,461113,319,257251,0.563729,2011_208
