Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
172,163,18277,471870,81,114893,0.387657,https://uioencryptedtraffic.no/master_files/2015_667
165,161,16215,482850,61,87469,0.271881,https://uioencryptedtraffic.no/master_files/2015_667
164,162,16125,482706,67,97003,0.280073,https://uioencryptedtraffic.no/master_files/2015_667
164,164,16125,479732,61,85931,0.280136,https://uioencryptedtraffic.no/master_files/2015_667
164,161,16125,482772,63,90647,0.281097,https://uioencryptedtraffic.no/master_files/2015_667
164,164,16125,482808,61,84393,0.294412,https://uioencryptedtraffic.no/master_files/2015_667
163,166,16035,482980,62,85955,0.983616,https://uioencryptedtraffic.no/master_files/2015_667
165,164,16215,482896,61,87401,0.282185,https://uioencryptedtraffic.no/master_files/2015_667
165,163,16215,482874,63,88889,0.286729,https://uioencryptedtraffic.no/master_files/2015_667
164,163,16125,482718,65,92067,0.319497,https://uioencryptedtraffic.no/master_files/2015_667
164,163,16125,482718,59,82753,0.299593,https://uioencryptedtraffic.no/master_files/2015_667
164,163,16125,482720,63,88934,0.290313,https://uioencryptedtraffic.no/master_files/2015_667
164,164,16125,482730,67,97003,0.310281,https://uioencryptedtraffic.no/master_files/2015_667
165,155,16215,464313,53,74826,0.320586,https://uioencryptedtraffic.no/master_files/2015_667
163,163,16035,482718,67,93927,0.292361,https://uioencryptedtraffic.no/master_files/2015_667
163,162,16035,482706,65,93825,0.292872,https://uioencryptedtraffic.no/master_files/2015_667
164,164,16125,482729,63,90391,0.314889,https://uioencryptedtraffic.no/master_files/2015_667
163,161,16035,482613,65,95282,0.291913,https://uioencryptedtraffic.no/master_files/2015_667
164,161,16125,482694,63,90647,0.292873,https://uioencryptedtraffic.no/master_files/2015_667
164,163,16125,482952,57,79725,0.288777,https://uioencryptedtraffic.no/master_files/2015_667
190,189,18465,559386,71,99763,0.326729,https://uioencryptedtraffic.no/master_files/2015_706
185,187,18015,559359,71,103359,0.30004,https://uioencryptedtraffic.no/master_files/2015_706
189,183,18375,540774,71,103278,0.326153,https://uioencryptedtraffic.no/master_files/2015_706
189,188,18376,559463,77,109733,0.900169,https://uioencryptedtraffic.no/master_files/2015_706
191,188,18555,559608,71,102839,0.295945,https://uioencryptedtraffic.no/master_files/2015_706
191,187,18555,559671,59,84291,0.292361,https://uioencryptedtraffic.no/master_files/2015_706
189,185,18375,559267,75,109647,0.306249,https://uioencryptedtraffic.no/master_files/2015_706
190,187,18465,559721,67,95615,0.292873,https://uioencryptedtraffic.no/master_files/2015_706
187,187,18195,559278,75,108867,0.318984,https://uioencryptedtraffic.no/master_files/2015_706
191,192,18556,559837,83,115673,0.514568,https://uioencryptedtraffic.no/master_files/2015_706
189,186,18375,559347,69,100181,0.31444,https://uioencryptedtraffic.no/master_files/2015_706
194,191,18977,560962,83,118106,0.6882,https://uioencryptedtraffic.no/master_files/2015_706
188,188,18285,559293,71,103202,0.32564,https://uioencryptedtraffic.no/master_files/2015_706
193,186,20285,559347,79,114556,1.16436,https://uioencryptedtraffic.no/master_files/2015_706
191,190,18555,559707,77,114274,0.321032,https://uioencryptedtraffic.no/master_files/2015_706
189,189,18375,559385,71,101646,0.332808,https://uioencryptedtraffic.no/master_files/2015_706
315,258,42016,599501,153,144711,1.111112,https://uioencryptedtraffic.no/master_files/2015_706
187,186,18195,559269,69,101562,0.296456,https://uioencryptedtraffic.no/master_files/2015_706
189,185,18375,545493,79,114533,0.334344,https://uioencryptedtraffic.no/master_files/2015_706
191,190,18555,559707,73,104999,0.317,https://uioencryptedtraffic.no/master_files/2015_706
