Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
849,837,77775,2561161,271,418015,0.69793,2011_099
843,844,77235,2576459,225,349446,0.614924,2011_099
853,870,78303,2595308,381,586963,0.97492,2011_099
864,857,79125,2585197,268,406197,1.435265,2011_099
862,861,78945,2600677,255,390399,0.61857,2011_099
812,849,74469,2601361,257,397375,0.638986,2011_099
826,854,77221,2610425,277,429263,0.747084,2011_099
720,856,67245,2602455,223,340265,0.622153,2011_099
816,866,75953,2587581,339,523047,0.841738,2011_099
842,853,77157,2601647,289,445615,0.720969,2011_099
851,852,77955,2601692,277,429224,0.629833,2011_099
848,851,77685,2601229,283,438689,0.664587,2011_099
799,853,75646,2610650,217,337066,0.600138,2011_099
662,858,63593,2616941,219,335797,0.627276,2011_099
843,852,77235,2601160,275,427434,0.656905,2011_099
849,853,77775,2598177,273,422799,0.687689,2011_099
830,832,76065,2511217,263,401723,0.60321,2011_099
856,848,78406,2583905,259,400703,0.652809,2011_099
869,860,81749,2603507,257,392245,1.393225,2011_099
851,857,77955,2586117,271,418282,0.621641,2011_099
187,187,18195,548720,68,96924,1.162816,2011_149
187,185,18195,548529,71,102384,0.28929,2011_149
188,183,18285,548511,69,98273,0.297481,2011_149
184,183,17925,548193,69,101638,0.309833,2011_149
187,186,18195,548622,71,100505,0.290825,2011_149
186,187,18093,548406,68,95537,0.665088,2011_149
187,179,18195,530082,65,93825,0.296009,2011_149
181,178,17655,530070,61,84971,0.285194,2011_149
179,183,17475,548274,59,84291,0.297993,2011_149
184,185,17925,548298,69,98643,0.329801,2011_149
186,184,18105,548442,67,98384,0.291849,2011_149
186,184,18105,548598,63,89259,0.293385,2011_149
185,184,18015,548286,71,103359,0.301129,2011_149
187,182,18207,548187,61,88330,0.295433,2011_149
187,183,18195,548508,65,93825,0.289802,2011_149
185,182,18015,548262,61,87469,0.288265,2011_149
185,181,18015,545096,67,97425,0.307273,2011_149
185,184,18015,548286,77,112893,0.337929,2011_149
185,183,18015,548274,71,103359,0.307722,2011_149
187,183,18195,548572,75,109707,0.310856,2011_149
