Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
100,92,10365,267410,39,52443,0.256004,2017_058
100,85,10365,248857,39,53968,0.263684,2017_058
96,96,10005,282828,31,41180,0.267846,2017_058
100,92,10365,267478,39,52511,0.251396,2017_058
99,91,10275,267466,37,49333,0.2985,2017_058
100,92,10365,267478,39,52511,0.26426,2017_058
100,91,10365,267388,33,44358,0.266757,2017_058
101,96,10455,285814,37,52953,0.264197,2017_058
100,99,10365,286018,45,62045,0.271876,2017_058
111,113,14653,321797,45,51874,0.974404,2017_058
112,97,13619,285994,33,43177,0.818756,2017_058
104,99,10889,286018,41,55708,1.061956,2017_058
98,91,10185,267466,35,46155,0.27604,2017_058
100,100,10365,286033,41,53026,0.259076,2017_058
100,98,10365,286006,37,47795,0.28314,2017_058
100,99,10365,286020,31,38086,0.283141,2017_058
95,98,9915,285938,45,61977,0.478276,2017_058
100,93,10365,270566,37,49333,0.268804,2017_058
96,99,9993,283026,48,61393,0.742402,2017_058
100,92,10365,273247,35,48848,0.26682,2017_058
581,561,53655,1707549,181,278005,0.55194,2018_490
584,567,53925,1706079,169,258937,0.539204,2018_490
588,554,54285,1666945,145,219629,0.526341,2018_490
583,555,53835,1698313,165,254106,0.539716,2018_490
566,567,52305,1727835,159,243034,0.546309,2018_490
585,568,54015,1717645,169,257621,0.519748,2018_490
582,571,53745,1736812,175,268471,0.5433,2018_490
585,548,54015,1661557,153,232119,0.55706,2018_490
570,561,52665,1705922,175,267938,0.56634,2018_490
569,544,52575,1664267,167,255903,0.5289,2018_490
583,578,53823,1756961,174,262276,0.592448,2018_490
577,572,53295,1733202,155,236904,0.530948,2018_490
570,568,52665,1730689,171,262259,0.529988,2018_490
584,553,53925,1672979,159,243256,0.50842,2018_490
571,570,52755,1732329,181,276611,0.549957,2018_490
579,578,53667,1742139,183,275902,1.173061,2018_490
587,539,54195,1640064,161,242923,0.52282,2018_490
584,573,53925,1748822,177,274486,0.534596,2018_490
582,575,53745,1742388,149,226827,0.543749,2018_490
575,545,53431,1645459,173,262529,0.528964,2018_490
93,98,9735,282395,39,52511,0.255492,2014_955
100,85,10365,245330,39,51991,0.251396,2014_955
99,90,10275,263843,33,42977,0.248836,2014_955
98,96,10185,282371,37,49333,0.255556,2014_955
