Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
55,53,11646,40611,55,22720,11.692308,https://www.academia.edu/
17,26,2089,29154,25,14457,0.536084,https://www.academia.edu/
13,26,1408,29324,18,7928,0.575552,https://www.academia.edu/
10,27,1633,30625,12,5418,0.4045,https://www.academia.edu/
15,26,2061,29120,23,12857,0.41378,https://www.academia.edu/
9,12,1545,11653,12,5564,0.388628,https://www.academia.edu/
14,26,2037,30565,21,11964,0.465492,https://www.academia.edu/
15,24,1544,27510,23,12311,0.434708,https://www.academia.edu/
16,26,2149,30567,21,12776,0.483923,https://www.academia.edu/
18,26,2389,32003,25,15196,0.440852,https://www.academia.edu/
17,26,2301,32049,23,13290,0.429652,https://www.academia.edu/
15,27,2113,32117,22,13480,0.454144,https://www.academia.edu/
8,14,1509,13275,10,3796,0.390675,https://www.academia.edu/
17,28,2301,32180,27,15572,0.422995,https://www.academia.edu/
18,26,2389,31999,23,13580,0.449555,https://www.academia.edu/
17,27,2301,32084,26,15451,0.560723,https://www.academia.edu/
14,26,2037,31999,22,13632,0.452115,https://www.academia.edu/
9,11,1597,10125,11,3884,0.709715,https://www.academia.edu/
16,28,2213,32213,25,12528,0.433235,https://www.academia.edu/
16,27,2213,32092,19,9054,0.431123,https://www.academia.edu/
53,59,8955,63825,70,41230,11.436243,https://web.telegram.org/
9,11,1613,8336,10,3494,0.247892,https://web.telegram.org/
10,12,1677,8430,10,2508,1.088064,https://web.telegram.org/
10,11,1701,8336,11,3582,0.241684,https://web.telegram.org/
11,12,1789,8430,9,3400,0.246804,https://web.telegram.org/
29,10,4541,7945,11,4342,0.90786,https://web.telegram.org/
12,10,2509,7881,13,5292,1.003604,https://web.telegram.org/
9,11,1613,8336,10,3494,0.243732,https://web.telegram.org/
12,12,1889,8430,11,2908,0.245268,https://web.telegram.org/
16,12,2770,8430,13,4724,1.104468,https://web.telegram.org/
12,12,1877,8414,7,2183,0.245267,https://web.telegram.org/
10,11,1701,8336,9,1501,0.241684,https://web.telegram.org/
8,12,1525,8430,9,1869,0.240659,https://web.telegram.org/
10,12,1701,8430,13,4701,0.250452,https://web.telegram.org/
21,15,3757,9900,13,3600,1.122388,https://web.telegram.org/
10,11,1701,8336,13,4998,0.245267,https://web.telegram.org/
10,11,1701,8336,13,4998,0.247827,https://web.telegram.org/
8,12,1313,8430,13,5515,0.240723,https://web.telegram.org/
10,11,1701,8336,13,4998,0.255507,https://web.telegram.org/
25,24,7459,16222,23,6858,1.084992,https://web.telegram.org/
