Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
11,12,1811,6728,13,1895,11.450069,https://prd.jwpltx.com/
8,10,1507,5838,11,3387,0.310802,https://prd.jwpltx.com/
9,9,1595,5744,9,1254,0.31189,https://prd.jwpltx.com/
8,10,1507,5838,9,974,0.30773,https://prd.jwpltx.com/
9,9,1595,5744,9,1254,0.310801,https://prd.jwpltx.com/
9,10,1595,5838,11,2870,0.310865,https://prd.jwpltx.com/
9,9,1595,5744,11,2870,0.30773,https://prd.jwpltx.com/
9,9,1595,5324,7,652,0.240145,https://prd.jwpltx.com/
9,9,1595,5744,11,2870,0.30728,https://prd.jwpltx.com/
9,9,1595,4310,9,974,0.307729,https://prd.jwpltx.com/
8,9,1507,5324,8,746,0.254992,https://prd.jwpltx.com/
7,4,692,2230,7,1066,0.314964,https://prd.jwpltx.com/
10,10,1695,5838,11,1478,0.311826,https://prd.jwpltx.com/
9,9,1595,5744,9,1254,0.308241,https://prd.jwpltx.com/
9,10,1595,5838,11,2450,0.316498,https://prd.jwpltx.com/
9,9,1595,5604,11,2870,0.30824,https://prd.jwpltx.com/
9,10,1595,5838,11,2870,0.310289,https://prd.jwpltx.com/
9,9,1607,5744,9,1266,0.314385,https://prd.jwpltx.com/
9,9,1595,5744,11,3010,0.306769,https://prd.jwpltx.com/
3,8,264,5620,7,1066,0.294911,https://prd.jwpltx.com/
9,21,1683,17310,10,1288,11.382034,https://www.ucar.edu/
10,17,1717,16528,18,7155,0.228372,https://www.ucar.edu/
12,17,1905,16528,13,2965,0.219156,https://www.ucar.edu/
8,16,1541,15714,13,2965,0.227347,https://www.ucar.edu/
15,17,2999,16528,17,6497,0.231954,https://www.ucar.edu/
10,16,1717,15334,15,5945,0.225362,https://www.ucar.edu/
10,17,1717,16528,17,7364,0.223251,https://www.ucar.edu/
4,10,881,9655,6,573,0.224787,https://www.ucar.edu/
5,12,452,10599,7,652,0.223247,https://www.ucar.edu/
11,17,1805,16529,17,6229,0.230993,https://www.ucar.edu/
11,16,1805,14985,17,6847,0.224784,https://www.ucar.edu/
12,16,1893,14985,19,7176,0.237074,https://www.ucar.edu/
8,16,1541,16426,10,2638,0.234513,https://www.ucar.edu/
11,16,1805,14985,13,2965,0.226898,https://www.ucar.edu/
7,17,1453,16529,9,1049,0.219153,https://www.ucar.edu/
10,17,1717,16529,15,4642,0.223251,https://www.ucar.edu/
13,17,1993,16529,19,7188,0.226834,https://www.ucar.edu/
11,16,1805,14985,15,4597,0.222739,https://www.ucar.edu/
10,16,1717,14985,16,6759,0.230995,https://www.ucar.edu/
44,17,6213,16529,15,4890,1.069651,https://www.ucar.edu/
