Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
11,9,1815,18841,13,12582,0.24576,https://en.wikipedia.org/wiki/Jonction_Basket
11,10,1815,18867,11,9091,0.244736,https://en.wikipedia.org/wiki/Jonction_Basket
12,9,1905,18855,13,12595,0.243776,https://en.wikipedia.org/wiki/Jonction_Basket
13,9,1995,18855,11,10629,0.243712,https://en.wikipedia.org/wiki/Jonction_Basket
8,9,1028,18843,7,5798,0.250368,https://en.wikipedia.org/wiki/Jonction_Basket
14,10,2073,18939,11,7938,0.24576,https://en.wikipedia.org/wiki/Jonction_Basket
11,9,1815,18841,11,10942,0.243776,https://en.wikipedia.org/wiki/Jonction_Basket
13,9,1995,18842,11,10942,0.24576,https://en.wikipedia.org/wiki/Jonction_Basket
13,9,1995,18855,11,9417,0.24576,https://en.wikipedia.org/wiki/Jonction_Basket
6,3,1365,3916,5,3472,0.21248,https://en.wikipedia.org/wiki/Jonction_Basket
11,8,1815,16966,9,9040,0.243776,https://en.wikipedia.org/wiki/Jonction_Basket
9,9,1635,18842,9,7765,0.24576,https://en.wikipedia.org/wiki/Jonction_Basket
12,9,1905,18843,13,14121,0.245248,https://en.wikipedia.org/wiki/Jonction_Basket
12,9,1905,18844,9,8976,0.2432,https://en.wikipedia.org/wiki/Jonction_Basket
13,9,1995,18842,9,8976,0.242752,https://en.wikipedia.org/wiki/Jonction_Basket
11,9,1815,18844,11,10943,0.245248,https://en.wikipedia.org/wiki/Jonction_Basket
42,34,8019,73463,24,17629,0.315392,https://en.wikipedia.org/wiki/Jonction_Basket
11,9,1815,18856,9,7451,0.244736,https://en.wikipedia.org/wiki/Jonction_Basket
12,9,1905,18844,9,7765,0.244288,https://en.wikipedia.org/wiki/Jonction_Basket
11,9,1815,18843,9,7765,0.246784,https://en.wikipedia.org/wiki/Jonction_Basket
13,12,1993,23155,17,13986,0.61088,https://en.wikipedia.org/wiki/Muhak_station
11,11,1519,23017,9,8976,0.268289,https://en.wikipedia.org/wiki/Muhak_station
14,11,2083,23015,11,10616,0.265728,https://en.wikipedia.org/wiki/Muhak_station
10,11,1723,23016,11,10616,0.267264,https://en.wikipedia.org/wiki/Muhak_station
14,11,2083,23016,11,10616,0.265792,https://en.wikipedia.org/wiki/Muhak_station
14,11,2083,23032,13,12269,0.264192,https://en.wikipedia.org/wiki/Muhak_station
13,11,1476,23017,13,13794,0.268289,https://en.wikipedia.org/wiki/Muhak_station
12,11,1673,23019,15,16972,0.267776,https://en.wikipedia.org/wiki/Muhak_station
12,11,1903,23018,13,13794,0.266816,https://en.wikipedia.org/wiki/Muhak_station
10,11,1429,23017,13,13658,0.26624,https://en.wikipedia.org/wiki/Muhak_station
14,11,2083,23020,13,13659,0.266752,https://en.wikipedia.org/wiki/Muhak_station
14,11,2083,23032,13,12269,0.26528,https://en.wikipedia.org/wiki/Muhak_station
13,11,1993,23019,11,10616,0.267776,https://en.wikipedia.org/wiki/Muhak_station
11,11,1813,23019,11,10616,0.269824,https://en.wikipedia.org/wiki/Muhak_station
13,11,1993,23018,13,13794,0.264704,https://en.wikipedia.org/wiki/Muhak_station
10,11,1206,23019,13,13659,0.2704,https://en.wikipedia.org/wiki/Muhak_station
15,12,2174,23134,15,12462,0.804416,https://en.wikipedia.org/wiki/Muhak_station
11,11,1813,23019,13,12121,0.285184,https://en.wikipedia.org/wiki/Muhak_station
14,12,1554,23116,14,13866,1.033856,https://en.wikipedia.org/wiki/Muhak_station
14,11,2083,23031,13,12134,0.268288,https://en.wikipedia.org/wiki/Muhak_station
