Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
10,11,1668,19785,13,9316,0.599551,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
8,10,959,19712,8,5870,0.491072,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
6,9,779,19615,8,8435,0.218624,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
5,9,701,19616,5,2859,0.237567,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
8,9,971,19617,9,8976,0.240127,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
8,9,1488,19616,7,6037,0.239167,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
9,9,1642,19617,9,8538,0.242175,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
5,9,462,19617,7,5798,0.243712,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
12,9,1912,19616,13,14894,0.241152,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
10,9,1656,19615,10,11853,0.216128,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
12,9,1912,19618,9,8976,0.237567,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
11,9,1758,19617,9,8539,0.242688,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
6,4,1372,6152,6,5708,0.23296,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
13,9,2002,19617,9,8539,0.24064,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
13,9,2002,19617,9,8976,0.238592,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
14,9,2092,19617,9,8976,0.238592,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
12,9,1912,19618,11,11717,0.239615,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
5,9,462,19618,7,5798,0.239104,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
10,9,1732,19617,9,8976,0.239169,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
13,9,2002,19617,11,10616,0.241153,"https://en.wikipedia.org/wiki/Khanabad,_Azad_Kashmir"
26,24,3406,31238,30,21319,11.813634,https://en.wikipedia.org/wiki/Jalalabad_State_University
14,13,2096,28107,11,10616,0.266239,https://en.wikipedia.org/wiki/Jalalabad_State_University
58,49,8630,108254,49,46477,1.010751,https://en.wikipedia.org/wiki/Jalalabad_State_University
8,13,1249,28108,11,7855,0.267842,https://en.wikipedia.org/wiki/Jalalabad_State_University
13,11,1489,18868,13,12269,0.268295,https://en.wikipedia.org/wiki/Jalalabad_State_University
13,13,1425,28108,13,11034,0.265219,https://en.wikipedia.org/wiki/Jalalabad_State_University
15,13,2186,28108,15,14212,0.266754,https://en.wikipedia.org/wiki/Jalalabad_State_University
15,14,2186,28119,15,15434,0.263748,https://en.wikipedia.org/wiki/Jalalabad_State_University
14,13,2096,28108,15,15750,0.266242,https://en.wikipedia.org/wiki/Jalalabad_State_University
14,13,2096,28108,15,14212,0.267779,https://en.wikipedia.org/wiki/Jalalabad_State_University
14,13,2084,28108,12,10933,0.240129,https://en.wikipedia.org/wiki/Jalalabad_State_University
14,13,2096,28108,13,13794,0.267842,https://en.wikipedia.org/wiki/Jalalabad_State_University
16,13,2276,28109,15,15751,0.266755,https://en.wikipedia.org/wiki/Jalalabad_State_University
13,13,2006,28108,15,16972,0.263171,https://en.wikipedia.org/wiki/Jalalabad_State_University
16,14,2264,28205,16,14285,0.736831,https://en.wikipedia.org/wiki/Jalalabad_State_University
16,13,2276,28108,17,18929,0.268805,https://en.wikipedia.org/wiki/Jalalabad_State_University
14,13,1579,28108,15,15751,0.265224,https://en.wikipedia.org/wiki/Jalalabad_State_University
12,14,1916,28121,13,11570,0.265215,https://en.wikipedia.org/wiki/Jalalabad_State_University
14,13,2084,28110,14,15649,0.239169,https://en.wikipedia.org/wiki/Jalalabad_State_University
15,13,2186,28109,15,14213,0.267264,https://en.wikipedia.org/wiki/Jalalabad_State_University
