Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
76,137,8053,203514,123,95980,0.333842,2011_428
75,142,7965,210109,129,100971,0.344595,2011_428
86,140,9149,208467,131,102717,0.364626,2011_428
76,143,8149,213111,110,86268,0.357395,2011_428
90,145,10067,214753,143,112658,0.36309,2011_428
76,141,8053,210015,115,88521,0.358931,2011_428
77,143,8165,211657,137,106385,0.360978,2011_428
77,144,8143,211763,119,90779,0.33493,2011_428
81,143,8609,213111,139,108225,0.348178,2011_428
77,143,8153,213111,113,86897,0.356371,2011_428
80,143,8465,213111,145,113038,0.354386,2011_428
74,142,7901,211563,123,95089,0.342547,2011_428
78,145,8253,216207,125,96701,0.373777,2011_428
83,146,8789,216301,131,102620,0.350803,2011_428
82,144,8701,213278,113,86898,0.349715,2011_428
76,139,8053,206919,129,100961,0.342547,2011_428
79,143,8329,211657,126,97866,0.370752,2011_428
80,142,8533,208824,115,87231,1.248338,2011_428
74,141,7877,210021,127,99404,0.333394,2011_428
77,143,8153,213111,125,96701,0.341523,2011_428
118,227,11761,342337,187,147599,0.446482,2018_325
140,213,14357,320665,201,159459,0.466515,2018_325
147,226,14997,340789,221,174868,0.444434,2018_325
147,228,15041,343885,208,164806,0.460882,2018_325
156,221,15981,331595,201,158279,0.502291,2018_325
142,222,14473,334597,149,116417,0.462418,2018_325
150,228,15263,339535,237,186460,0.824403,2018_325
152,226,15521,340789,229,181424,0.457299,2018_325
146,230,14869,345527,193,153743,0.46389,2018_325
152,230,15541,345527,217,172456,0.463955,2018_325
161,227,16877,342337,221,175989,0.492562,2018_325
157,227,16141,339429,227,180760,0.503891,2018_325
146,219,14941,327045,229,181387,0.455187,2018_325
145,227,14845,342337,221,175697,0.454227,2018_325
138,220,14121,330047,185,145227,0.463379,2018_325
149,228,15250,341152,217,170816,1.204818,2018_325
151,221,15573,331595,221,174799,0.497235,2018_325
146,230,14881,345527,193,151735,0.45877,2018_325
133,208,13751,313814,226,180529,0.431186,2018_325
159,229,16345,343979,235,187514,0.474131,2018_325
