Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
102,180,10353,271137,167,130923,0.32258,2010_652
104,194,10541,289685,177,138161,0.306708,2010_652
102,190,10341,283493,165,129348,0.314388,2010_652
100,181,9708,271015,173,136077,0.334868,2010_652
100,181,10189,271015,165,129489,0.31394,2010_652
104,195,10542,289785,175,135078,0.985172,2010_652
98,191,9989,285041,171,134324,0.288788,2010_652
84,156,8769,230861,133,103252,0.287316,2010_652
103,190,10441,283493,171,134324,0.304148,2010_652
94,187,9649,278849,164,130343,0.292883,2010_652
100,187,10177,280303,173,134962,0.297044,2010_652
104,195,10541,290088,173,134889,0.292372,2010_652
107,188,11066,279112,167,129921,0.706132,2010_652
97,182,9913,271109,171,133265,0.304212,2010_652
100,183,10103,274111,175,138672,0.294419,2010_652
104,190,10553,284947,191,149710,0.311316,2010_652
100,183,10103,276637,177,139317,0.30722,2010_652
101,188,9748,280397,149,115269,0.30882,2010_652
95,177,9214,267187,149,118274,0.315411,2010_652
98,185,10001,277207,177,139337,0.298516,2010_652
142,276,13897,417709,237,188256,0.358996,2015_470
147,279,14313,420992,257,204604,0.350228,2015_470
149,277,14489,417896,277,220976,0.346132,2015_470
144,284,14037,428732,237,188244,0.368724,2015_470
148,280,14413,422540,263,210595,0.349204,2015_470
150,278,14589,419444,267,213855,0.348756,2015_470
149,281,14513,424088,271,216080,0.396819,2015_470
149,281,14489,424088,259,207311,0.35842,2015_470
147,281,14086,424088,269,214432,0.351316,2015_470
145,275,14125,414800,263,209512,0.35074,2015_470
147,279,14313,423722,261,207949,0.365588,2015_470
136,258,13345,389938,241,191621,0.364628,2015_470
161,270,15869,407060,209,165448,0.365075,2015_470
138,278,12992,419444,236,189598,0.373312,2015_470
148,281,14425,425548,267,211611,0.354323,2015_470
185,292,18509,441116,271,216560,0.5197,2015_470
204,290,20649,436572,321,258999,0.553556,2015_470
207,293,20933,444118,335,268249,0.544851,2015_470
205,288,20733,436378,285,228369,0.526356,2015_470
205,294,20741,444212,303,243236,0.532052,2015_470
